Year;Unit;Country;Month;value
2020;usd/sqm;Algeria;01;N/A
2020;usd/sqm;Australia;01;N/A
2020;usd/sqm;Austria;01;N/A
2020;usd/sqm;Belgium;01;84,66
2020;usd/sqm;Brazil;01;81,33
2020;usd/sqm;Cabo Verde;01;N/A
2020;usd/sqm;Cambodia;01;N/A
2020;usd/sqm;Canada;01;121,98
2020;usd/sqm;China;01;72,03
2020;usd/sqm;Czechia;01;77,06
2020;usd/sqm;Dominican Rep;01;N/A
2020;usd/sqm;Estonia;01;172,81
2020;usd/sqm;France;01;N/A
2020;usd/sqm;Germany;01;85,5
2020;usd/sqm;Greece;01;N/A
2020;usd/sqm;Hong Kong;01;58,34
2020;usd/sqm;India;01;54,38
2020;usd/sqm;Indonesia;01;145,84
2020;usd/sqm;Israel;01;109,6
2020;usd/sqm;Italy;01;105,33
2020;usd/sqm;Malaysia;01;83,76
2020;usd/sqm;Mauritius;01;1610,55
2020;usd/sqm;Mexico;01;64,33
2020;usd/sqm;Netherlands;01;N/A
2020;usd/sqm;Oman;01;88,98
2020;usd/sqm;Pakistan;01;47,52
2020;usd/sqm;Panama;01;N/A
2020;usd/sqm;Philippines;01;93,74
2020;usd/sqm;Portugal;01;110,25
2020;usd/sqm;Qatar;01;N/A
2020;usd/sqm;Romania;01;984,56
2020;usd/sqm;Singapore;01;N/A
2020;usd/sqm;South Korea;01;106,48
2020;usd/sqm;Spain;01;107,18
2020;usd/sqm;Sri Lanka;01;52,21
2020;usd/sqm;Taiwan;01;115,47
2020;usd/sqm;Thailand;01;27,04
2020;usd/sqm;Turkey;01;75,31
2020;usd/sqm;United Arab Em;01;77,13
2020;usd/sqm;Vietnam;01;100,85
2021;usd/sqm;Albania;01;N/A
2021;usd/sqm;Belgium;01;128,57
2021;usd/sqm;Brazil;01;132,86
2021;usd/sqm;Cambodia;01;93,3
2021;usd/sqm;Canada;01;124,87
2021;usd/sqm;China;01;67,51
2021;usd/sqm;Colombia;01;N/A
2021;usd/sqm;Czechia;01;79,07
2021;usd/sqm;Denmark;01;N/A
2021;usd/sqm;Dominican Rep;01;N/A
